problemName,vehicleFileID,UAVSpeedType,numUAVs,numTrucks,,,,
20191118T122820306867,101,variable,3,-1,,,,
,,,,,,,,
Objective Function Value: 5110.507007 ,,,,,,,,
,,,,,,,,
Assignments: ,,,,,,,,
vehicleID,vehicleType,activityType,startTime,startNode,endTime,endNode,Description,Status
1,Truck,Truck travels with UAV(s) on board,0,0,54.726718,12,Travel from node 0 to node 12,Traveling
1,Truck,Truck is stationary with UAV(s) on board,54.726718,12,84.726718,12,Dropping off package to Customer 12,Making Delivery
1,Truck,Truck travels with UAV(s) on board,84.726718,12,131.01832,23,Travel from node 12 to node 23,Traveling
1,Truck,Truck is stationary with UAV(s) on board,131.01832,23,161.01832,23,Dropping off package to Customer 23,Making Delivery
1,Truck,Truck travels with UAV(s) on board,161.01832,23,250.214781,11,Travel from node 23 to node 11,Traveling
1,Truck,Truck is stationary with UAV(s) on board,250.214781,11,280.214781,11,Dropping off package to Customer 11,Making Delivery
1,Truck,Truck travels with UAV(s) on board,280.214781,11,318.677739,1,Travel from node 11 to node 1,Traveling
1,Truck,Truck is stationary with UAV(s) on board,318.677739,1,348.677739,1,Dropping off package to Customer 1,Making Delivery
1,Truck,Truck is stationary with UAV(s) on board,348.677739,1,408.677739,1,Launching UAV 2,UAV Launch
1,Truck,Truck travels with UAV(s) on board,408.677739,1,478.251804,31,Travel from node 1 to node 31,Traveling
1,Truck,Truck is stationary with UAV(s) on board,478.251804,31,508.251804,31,Dropping off package to Customer 31,Making Delivery
1,Truck,Truck travels with UAV(s) on board,508.251804,31,563.295978,26,Travel from node 31 to node 26,Traveling
1,Truck,Truck is stationary with UAV(s) on board,563.295978,26,593.295978,26,Dropping off package to Customer 26,Making Delivery
1,Truck,Truck travels with UAV(s) on board,593.295978,26,626.338486,14,Travel from node 26 to node 14,Traveling
1,Truck,Truck is stationary with UAV(s) on board,626.338486,14,656.338486,14,Dropping off package to Customer 14,Making Delivery
1,Truck,Truck travels with UAV(s) on board,656.338486,14,781.827069,43,Travel from node 14 to node 43,Traveling
1,Truck,Truck is stationary with UAV(s) on board,781.827069,43,811.827069,43,Retrieving UAV 2,UAV Recovery
1,Truck,Truck is stationary with UAV(s) on board,811.827069,43,841.827069,43,Dropping off package to Customer 43,Making Delivery
1,Truck,Truck travels with UAV(s) on board,841.827069,43,861.620082,6,Travel from node 43 to node 6,Traveling
1,Truck,Truck is stationary with UAV(s) on board,861.620082,6,891.620082,6,Dropping off package to Customer 6,Making Delivery
1,Truck,Truck is stationary with UAV(s) on board,891.620082,6,951.620082,6,Launching UAV 2,UAV Launch
1,Truck,Truck travels with UAV(s) on board,951.620082,6,1071.952818,46,Travel from node 6 to node 46,Traveling
1,Truck,Truck is stationary with UAV(s) on board,1071.952818,46,1101.952818,46,Dropping off package to Customer 46,Making Delivery
1,Truck,Truck travels with UAV(s) on board,1101.952818,46,1142.98232,47,Travel from node 46 to node 47,Traveling
1,Truck,Truck is stationary with UAV(s) on board,1142.98232,47,1172.98232,47,Dropping off package to Customer 47,Making Delivery
1,Truck,Truck travels with UAV(s) on board,1172.98232,47,1274.715637,41,Travel from node 47 to node 41,Traveling
1,Truck,Truck is stationary with UAV(s) on board,1274.715637,41,1304.715637,41,Dropping off package to Customer 41,Making Delivery
1,Truck,Truck travels with UAV(s) on board,1304.715637,41,1460.738801,44,Travel from node 41 to node 44,Traveling
1,Truck,Truck is stationary with UAV(s) on board,1460.738801,44,1490.738801,44,Dropping off package to Customer 44,Making Delivery
1,Truck,Truck travels with UAV(s) on board,1490.738801,44,1512.344485,22,Travel from node 44 to node 22,Traveling
1,Truck,Truck is stationary with UAV(s) on board,1512.344485,22,1542.344485,22,Dropping off package to Customer 22,Making Delivery
1,Truck,Truck travels with UAV(s) on board,1542.344485,22,1641.637202,15,Travel from node 22 to node 15,Traveling
1,Truck,Truck is stationary with UAV(s) on board,1641.637202,15,1671.637202,15,Dropping off package to Customer 15,Making Delivery
1,Truck,Truck travels with UAV(s) on board,1671.637202,15,1719.995592,49,Travel from node 15 to node 49,Traveling
1,Truck,Truck is stationary with UAV(s) on board,1719.995592,49,1749.995592,49,Dropping off package to Customer 49,Making Delivery
1,Truck,Truck travels with UAV(s) on board,1749.995592,49,1789.733779,10,Travel from node 49 to node 10,Traveling
1,Truck,Truck is stationary with UAV(s) on board,1789.733779,10,1819.733779,10,Dropping off package to Customer 10,Making Delivery
1,Truck,Truck is stationary with UAV(s) on board,1819.733779,10,1879.733779,10,Launching UAV 3,UAV Launch
1,Truck,Truck travels with UAV(s) on board,1879.733779,10,1931.763088,48,Travel from node 10 to node 48,Traveling
1,Truck,Truck is stationary with UAV(s) on board,1931.763088,48,1961.763088,48,Dropping off package to Customer 48,Making Delivery
1,Truck,Truck is stationary with UAV(s) on board,1961.763088,48,2021.763088,48,Launching UAV 4,UAV Launch
1,Truck,Truck travels with no UAVs on board,2021.763088,48,2063.266641,38,Travel from node 48 to node 38,Traveling
1,Truck,Truck is stationary with no UAVs on board,2063.266641,38,2093.266641,38,Retrieving UAV 2,UAV Recovery
1,Truck,Truck is stationary with no UAVs on board,2093.266641,38,2123.266641,38,Dropping off package to Customer 38,Making Delivery
1,Truck,Truck travels with UAV(s) on board,2123.266641,38,2276.468604,39,Travel from node 38 to node 39,Traveling
1,Truck,Truck is stationary with UAV(s) on board,2276.468604,39,2306.468604,39,Dropping off package to Customer 39,Making Delivery
1,Truck,Truck is stationary with UAV(s) on board,2306.468604,39,2366.468604,39,Launching UAV 2,UAV Launch
1,Truck,Truck travels with no UAVs on board,2366.468604,39,2450.339216,21,Travel from node 39 to node 21,Traveling
1,Truck,Truck is stationary with no UAVs on board,2450.339216,21,2480.339216,21,Retrieving UAV 3,UAV Recovery
1,Truck,Truck is stationary with no UAVs on board,2480.339216,21,2510.339216,21,Dropping off package to Customer 21,Making Delivery
1,Truck,Truck is stationary with no UAVs on board,2510.339216,21,2570.339216,21,Launching UAV 3,UAV Launch
1,Truck,Truck travels with no UAVs on board,2570.339216,21,2601.466378,9,Travel from node 21 to node 9,Traveling
1,Truck,Truck is stationary with no UAVs on board,2601.466378,9,2631.466378,9,Retrieving UAV 4,UAV Recovery
1,Truck,Truck is stationary with no UAVs on board,2631.466378,9,2661.466378,9,Dropping off package to Customer 9,Making Delivery
1,Truck,Truck is stationary with no UAVs on board,2661.466378,9,2721.466378,9,Launching UAV 4,UAV Launch
1,Truck,Truck travels with no UAVs on board,2721.466378,9,2887.602726,28,Travel from node 9 to node 28,Traveling
1,Truck,Truck is stationary with no UAVs on board,2887.602726,28,2917.602726,28,Dropping off package to Customer 28,Making Delivery
1,Truck,Truck travels with no UAVs on board,2917.602726,28,2941.159586,32,Travel from node 28 to node 32,Traveling
